genre_id,genre
3,black-music
4,blues
5,funk
6,hip-hop-rap
7,jazz
8,reb
10,soul
13,axe
14,bossa-nova
15,brega
17,choro
18,forro
19,instrumental-brasileiro
21,mpb
23,pagode
24,regional
25,romantico
26,samba
28,samba-rock
29,sertanejo
44,eletronica
146,brega-funk
49,house
58,trance
61,pop
147,tecnobrega
64,reggae
71,alternativo
75,death-metal
78,emocore
86,grunge
87,guitar
88,gotico
89,hard-rock
90,hardcore
92,heavy-metal
93,indie
95,industrial
99,metal-melodico
101,new-metal
102,pop-rock
105,rock-progressivo
109,punk-rock
115,rock
124,surf-music
125,thrash-metal
126,country
128,erudito
129,experimental
130,folk
131,infantil
132,instrumental
134,world-music
135,new-age
136,parodiacomedia
138,gospel
140,catolica
145,bregadeira
148,reggaeton
149,arrocha
150,swingueira
151,locutores
152,jingles-spots
